id,id,timestamp,timestamp,type,type,prob,phase_amplitude,phase_amplitude,event_idx,prob_gamma
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:13:58.780000,2021-09-25T02:13:58.780000,S,S,0.413,1.1072578445237014e-06,1.1072578445237014e-06,5,1.9525778079438133e-05
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:16:19.740000,2021-09-25T02:16:19.740000,S,S,0.563,1.267809466298786e-06,1.267809466298786e-06,6,1.9525778079438133e-05
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:17:01.400000,2021-09-25T02:17:01.400000,S,S,0.382,8.029541618270741e-07,8.029541618270741e-07,7,0.002569910212528944
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:17:02.560000,2021-09-25T02:17:02.560000,S,S,0.331,1.780244019755628e-06,1.780244019755628e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T06:56:55.620000,2021-09-25T06:56:55.620000,S,S,0.626,1.598417838977184e-06,1.598417838977184e-06,-1,-1.0
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T00:00:00.020000,2021-09-25T00:00:00.020000,P,P,0.38,1.494142765068318e-07,1.494142765068318e-07,-1,-1.0
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T01:39:42.360000,2021-09-25T01:39:42.360000,P,P,0.322,2.0175046699932866e-07,2.0175046699932866e-07,2,0.0004329613509560992
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T02:02:51.480000,2021-09-25T02:02:51.480000,P,P,0.333,2.3470512644507838e-07,2.3470512644507838e-07,-1,-1.0
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T05:58:32.720000,2021-09-25T05:58:32.720000,P,P,0.652,2.332683521899526e-07,2.332683521899526e-07,8,0.001333157206952553
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T06:33:25.520000,2021-09-25T06:33:25.520000,P,P,0.338,1.623570682340869e-07,1.623570682340869e-07,11,0.001333157206952553
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T06:50:49.240000,2021-09-25T06:50:49.240000,P,P,0.701,1.603539772077056e-07,1.603539772077056e-07,-1,-1.0
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T09:24:24.280000,2021-09-25T09:24:24.280000,P,P,0.358,1.4839436346392176e-07,1.4839436346392176e-07,-1,-1.0
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T02:16:25.640000,2021-09-25T02:16:25.640000,S,S,0.345,3.293182828656427e-07,3.293182828656427e-07,6,5.668564786274356e-06
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T05:59:16.300000,2021-09-25T05:59:16.300000,S,S,0.677,6.168185109345359e-07,6.168185109345359e-07,-1,-1.0
AV.PV6A..SH,AV.PV6A..SH,2021-09-25T09:24:33.020000,2021-09-25T09:24:33.020000,S,S,0.314,1.4930884617569973e-07,1.4930884617569973e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T01:39:35.960000,2021-09-25T01:39:35.960000,P,P,0.318,5.667081381943717e-07,5.667081381943717e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T04:19:50.640000,2021-09-25T04:19:50.640000,P,P,0.504,1.7259635853861258e-07,1.7259635853861258e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T04:37:06.100000,2021-09-25T04:37:06.100000,P,P,0.397,2.1508915892809455e-07,2.1508915892809455e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T01:33:29.800000,2021-09-25T01:33:29.800000,S,S,0.396,2.610670719604969e-07,2.610670719604969e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T01:39:43.240000,2021-09-25T01:39:43.240000,S,S,0.308,4.555723762678099e-07,4.555723762678099e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T01:39:44.760000,2021-09-25T01:39:44.760000,S,S,0.431,5.667081381943717e-07,5.667081381943717e-07,2,0.00036041731355094343
AV.PVV..SH,AV.PVV..SH,2021-09-25T01:48:19.400000,2021-09-25T01:48:19.400000,S,S,0.544,2.134779748530491e-07,2.134779748530491e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T01:58:04.560000,2021-09-25T01:58:04.560000,S,S,0.426,3.77940239104646e-07,3.77940239104646e-07,3,1.9525778079438133e-05
