id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id
AV.HAG..SH,2021-05-16T14:18:47.640000,P,0.848,2.494458044566273e-07,9,0.0005437439377324,20210516T080000_9
AV.HAG..SH,2021-05-16T14:21:36.080000,P,0.713,3.856551700209821e-07,10,0.0001392562274901,20210516T080000_10
AV.HAG..SH,2021-05-16T15:48:10.420000,P,0.969,3.274124537711032e-06,12,0.0001392562274901,20210516T080000_12
AV.HAG..SH,2021-05-16T08:40:19.220000,S,0.839,2.595394903437409e-07,-1,-1.0,20210516T080000_-1
AV.HAG..SH,2021-05-16T13:25:23.640000,S,0.308,1.346570144278303e-07,5,0.0010982489068228,20210516T080000_5
AV.HAG..SH,2021-05-16T13:48:37.600000,S,0.561,1.8376768196048945e-07,-1,-1.0,20210516T080000_-1
AV.HAG..SH,2021-05-16T13:53:52.840000,S,0.347,4.192363007859967e-07,7,0.0010982489068228,20210516T080000_7
AV.HAG..SH,2021-05-16T14:13:19.740000,S,0.554,2.81391322687341e-07,8,0.0010982489068228,20210516T080000_8
AV.HAG..SH,2021-05-16T14:19:01.600000,S,0.703,4.866353719990002e-07,-1,-1.0,20210516T080000_-1
AV.HAG..SH,2021-05-16T14:21:55.980000,S,0.612,7.070423180266516e-07,11,0.0001392562274901,20210516T080000_11
AV.PN7A..BH,2021-05-16T08:16:28.380000,P,0.702,1.6909108353502234e-06,1,0.0051469671319894,20210516T080000_1
AV.PN7A..BH,2021-05-16T08:26:24.300000,P,0.434,1.761331418492773e-06,3,0.0030787938450925,20210516T080000_3
AV.PN7A..BH,2021-05-16T13:53:48.560000,P,0.583,1.970520315808244e-06,7,0.0030787938450925,20210516T080000_7
AV.PN7A..BH,2021-05-16T14:13:14.680000,P,0.312,2.263852138639777e-06,8,0.0030787938450925,20210516T080000_8
AV.PN7A..BH,2021-05-16T15:48:13.080000,P,0.908,2.36889877669455e-06,12,0.0034336840438568,20210516T080000_12
AV.PN7A..BH,2021-05-16T08:16:31.540000,S,0.429,1.6909108353502234e-06,1,0.0010982489068228,20210516T080000_1
AV.PN7A..BH,2021-05-16T13:53:52.780000,S,0.462,1.970520315808244e-06,7,0.0001392562274901,20210516T080000_7
AV.PN7A..BH,2021-05-16T14:13:18.420000,S,0.391,2.263852138639777e-06,-1,-1.0,20210516T080000_-1
AV.PN7A..BH,2021-05-16T15:48:35.440000,S,0.318,2.9387690574367298e-06,13,0.0030787938450925,20210516T080000_13
AV.PS1A..BH,2021-05-16T08:26:24.040000,P,0.54,1.6797946500446417e-06,3,0.0001392562274901,20210516T080000_3
AV.PS1A..BH,2021-05-16T13:25:19.000000,P,0.418,1.8051987353828736e-06,5,0.0030787938450925,20210516T080000_5
AV.PS1A..BH,2021-05-16T13:53:48.600000,P,0.78,1.5372446569017484e-06,7,0.0034336840438568,20210516T080000_7
AV.PS1A..BH,2021-05-16T14:13:14.600000,P,0.489,3.421260544200777e-06,8,0.0001392562274901,20210516T080000_8
AV.PS1A..BH,2021-05-16T15:48:10.440000,P,0.895,2.3756156224408187e-06,12,0.00169238146019,20210516T080000_12
AV.PS4A..BH,2021-05-16T15:48:10.360000,P,0.303,1.3849489732820075e-06,12,0.0097450917995237,20210516T080000_12
AV.PS4A..BH,2021-05-16T15:48:11.140000,P,0.663,3.4000629511865554e-06,-1,-1.0,20210516T080000_-1
AV.PS4A..BH,2021-05-16T13:53:50.880000,S,0.501,2.525636773498263e-06,-1,-1.0,20210516T080000_-1
AV.PS4A..BH,2021-05-16T14:03:39.700000,S,0.453,2.491647592250956e-06,-1,-1.0,20210516T080000_-1
AV.PS4A..BH,2021-05-16T14:13:17.180000,S,0.622,1.9906162833649432e-06,-1,-1.0,20210516T080000_-1
AV.PS4A..BH,2021-05-16T15:48:31.640000,S,0.407,5.712441179639427e-06,13,0.0001392562274901,20210516T080000_13
AV.PV6A..SH,2021-05-16T08:00:00.020000,P,0.314,9.936816525168981e-08,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T08:16:30.400000,P,0.44,3.746903018964076e-07,1,0.0030787938450925,20210516T080000_1
AV.PV6A..SH,2021-05-16T08:26:23.800000,P,0.369,1.438668846276414e-07,2,0.0051469671319894,20210516T080000_2
AV.PV6A..SH,2021-05-16T11:40:39.120000,P,0.792,2.098861529020724e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T12:20:29.320000,P,0.49,1.179002921958272e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T13:11:41.720000,P,0.956,7.00370435424702e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T13:25:20.840000,P,0.48,2.266351231128283e-07,5,0.0001392562274901,20210516T080000_5
AV.PV6A..SH,2021-05-16T13:30:19.980000,P,0.322,1.618654010826504e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T13:53:50.320000,P,0.696,7.889346420597576e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T14:13:15.320000,P,0.471,5.555613142860238e-07,8,0.0034336840438568,20210516T080000_8
AV.PV6A..SH,2021-05-16T14:21:38.280000,P,0.655,2.440641537759803e-07,10,0.0034336840438568,20210516T080000_10
AV.PV6A..SH,2021-05-16T15:25:38.360000,P,0.544,1.5093314686964734e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T15:48:12.940000,P,0.86,1.6626780734441129e-06,12,0.0005437439377324,20210516T080000_12
AV.PV6A..SH,2021-05-16T08:16:34.820000,S,0.541,3.746903018964076e-07,1,0.0001392562274901,20210516T080000_1
AV.PV6A..SH,2021-05-16T08:26:28.920000,S,0.367,1.2077558153578138e-07,2,0.0010982489068228,20210516T080000_2
AV.PV6A..SH,2021-05-16T08:40:24.360000,S,0.342,1.2513946501258033e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T11:09:53.980000,S,0.574,2.363815809758308e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T11:40:41.600000,S,0.434,2.098861529020724e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T12:50:43.960000,S,0.362,1.3469821169564966e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T13:11:43.420000,S,0.949,7.00370435424702e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T13:48:40.600000,S,0.399,1.2499572221713606e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T13:53:57.080000,S,0.344,7.889346420597576e-07,-1,-1.0,20210516T080000_-1
AV.PV6A..SH,2021-05-16T14:13:21.720000,S,0.311,5.555613142860238e-07,8,0.00169238146019,20210516T080000_8
AV.PV6A..SH,2021-05-16T14:22:00.360000,S,0.872,4.362021002179972e-07,11,0.0034336840438568,20210516T080000_11
AV.PV6A..SH,2021-05-16T15:48:35.760000,S,0.451,2.1864477730559884e-06,13,0.0034336840438568,20210516T080000_13
AV.PVV..SH,2021-05-16T08:26:24.080000,P,0.709,1.3536778453726586e-07,2,0.0030787938450925,20210516T080000_2
AV.PVV..SH,2021-05-16T08:40:05.720000,P,0.308,1.576141670511788e-07,4,0.0097450917995237,20210516T080000_4
AV.PVV..SH,2021-05-16T09:17:01.360000,P,0.444,1.8074840113513346e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T11:09:46.960000,P,0.592,2.526668367863749e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T13:25:18.660000,P,0.871,1.7126119189470049e-07,5,0.0034336840438568,20210516T080000_5
AV.PVV..SH,2021-05-16T13:30:33.080000,P,0.567,1.6070963226866297e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T13:48:16.460000,P,0.777,1.3218321726071738e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T13:53:48.360000,P,0.824,7.06693413121684e-07,7,0.00169238146019,20210516T080000_7
AV.PVV..SH,2021-05-16T14:03:39.760000,P,0.783,2.724999887959712e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T14:13:14.260000,P,0.853,5.957993494121183e-07,8,0.0097450917995237,20210516T080000_8
AV.PVV..SH,2021-05-16T14:21:35.320000,P,0.814,1.920949443956488e-07,10,0.00169238146019,20210516T080000_10
AV.PVV..SH,2021-05-16T15:48:09.940000,P,0.946,1.492610749664891e-06,12,0.0055919003073197,20210516T080000_12
AV.PVV..SH,2021-05-16T11:09:52.880000,S,0.661,2.526668367863749e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T13:30:21.920000,S,0.385,1.8659930844933123e-07,6,0.00169238146019,20210516T080000_6
AV.PVV..SH,2021-05-16T13:30:48.800000,S,0.594,2.682065201042861e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T13:53:54.520000,S,0.375,7.06693413121684e-07,7,0.0097450917995237,20210516T080000_7
AV.PVV..SH,2021-05-16T14:03:43.900000,S,0.435,2.724999887959712e-07,-1,-1.0,20210516T080000_-1
AV.PVV..SH,2021-05-16T14:13:20.320000,S,0.699,5.957993494121183e-07,8,0.0005437439377324,20210516T080000_8
AV.PVV..SH,2021-05-16T14:21:55.740000,S,0.584,2.905734106661839e-07,11,0.00169238146019,20210516T080000_11
AV.S12K..BH,2021-05-16T08:26:23.620000,P,0.93,7.094298553056433e-07,2,0.0001392562274901,20210516T080000_2
AV.S12K..BH,2021-05-16T13:30:20.220000,P,0.361,8.556328907616262e-07,6,0.0097450917995237,20210516T080000_6
AV.S12K..BH,2021-05-16T14:21:41.420000,P,0.4,7.631118137396697e-07,10,0.0097450917995237,20210516T080000_10
AV.S12K..BH,2021-05-16T15:48:15.000000,P,0.936,1.929826794366818e-06,12,0.0013055625130674,20210516T080000_12
AV.S12K..BH,2021-05-16T08:26:36.600000,S,0.424,9.07175603970245e-07,3,0.0034336840438568,20210516T080000_3
AV.S12K..BH,2021-05-16T15:48:39.600000,S,0.412,3.3133844681287883e-06,13,0.00169238146019,20210516T080000_13
AV.DEER..BH,2021-05-16T16:17:05.000000,P,0.615,9.956772828445537e-07,3,0.0013833243168501,20210516T160000_3
AV.DEER..BH,2021-05-16T17:08:01.000000,P,0.426,8.374556159651547e-07,-1,-1.0,20210516T160000_-1
AV.DEER..BH,2021-05-16T18:12:15.980000,P,0.712,1.0345274858991615e-06,5,0.0013833243168501,20210516T160000_5
AV.DEER..BH,2021-05-16T21:36:42.920000,P,0.627,1.240665596924373e-06,12,0.0013833243168501,20210516T160000_12
AV.DEER..BH,2021-05-16T23:43:27.620000,P,0.955,2.4646215024404228e-06,-1,-1.0,20210516T160000_-1
AV.DEER..BH,2021-05-16T16:17:14.860000,S,0.777,8.979953918242245e-07,3,0.0001887580392343,20210516T160000_3
AV.DEER..BH,2021-05-16T17:08:11.900000,S,0.648,1.0256346740789013e-06,-1,-1.0,20210516T160000_-1
AV.DEER..BH,2021-05-16T18:12:25.780000,S,0.502,1.0345274858991615e-06,6,0.0013833243168501,20210516T160000_6
AV.DEER..BH,2021-05-16T19:18:38.100000,S,0.682,9.709866617413354e-07,-1,-1.0,20210516T160000_-1
AV.DEER..BH,2021-05-16T21:37:03.060000,S,0.683,2.760414417934953e-06,13,0.0013833243168501,20210516T160000_13
AV.DEER..BH,2021-05-16T23:43:40.000000,S,0.761,5.406256150308764e-06,17,0.0013833243168501,20210516T160000_17
AV.DOL..BH,2021-05-16T16:13:49.420000,P,0.376,9.301161298935768e-07,-1,-1.0,20210516T160000_-1
AV.DOL..BH,2021-05-16T16:17:10.280000,P,0.845,1.1050938155676704e-06,3,0.0013053838044953,20210516T160000_3
